spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DB,1.3,3.48,-6.0756,9.5026,2.2921,0.0033,19.9291,20.5806,21.7069,19.57
DB,1.3,3.5,-5.9954,9.5024,2.2896,0.0033,19.7286,20.2921,21.3438,19.3113
DB,1.3,3.52,-5.9152,9.5022,2.2872,0.0033,19.528,20.0085,20.9879,19.059
DB,1.3,3.54,-5.835,9.502,2.2847,0.0033,19.3275,19.7296,20.6403,18.8122
DB,1.3,3.56,-5.7548,9.5018,2.2823,0.0033,19.1269,19.4585,20.3034,18.5744
DB,1.3,3.58,-5.6746,9.5016,2.28,0.0033,18.9264,19.1933,19.9749,18.3437
DB,1.3,3.6,-5.5944,9.5015,2.2779,0.0033,18.726,18.933,19.6543,18.1187
DB,1.3,3.62,-5.5144,9.5015,2.2755,0.0033,18.526,18.6814,19.3452,17.9032
DB,1.3,3.64,-5.4344,9.5015,2.2727,0.0033,18.326,18.4358,19.0447,17.6945
DB,1.3,3.66,-5.3544,9.5015,2.2695,0.0033,18.126,18.196,18.7525,17.4924
DB,1.3,3.68,-5.2744,9.5014,2.2658,0.0033,17.926,17.9639,18.4708,17.2982
DB,1.3,3.7,-5.1944,9.5015,2.2614,0.0033,17.726,17.7397,18.1996,17.1122
DB,1.3,3.72,-5.1144,9.5015,2.2562,0.0033,17.526,17.5247,17.9406,16.935
DB,1.3,3.74,-5.0344,9.5014,2.25,0.0033,17.3259,17.3115,17.6847,16.7605
DB,1.3,3.76,-4.9544,9.5014,2.2428,0.0033,17.1259,17.1123,17.4463,16.5984
DB,1.3,3.78,-4.8744,9.5014,2.2345,0.0033,16.9259,16.9166,17.2133,16.4398
DB,1.3,3.8,-4.7944,9.5014,2.2243,0.0033,16.7259,16.7261,16.987,16.2866
DB,1.3,3.82,-4.7143,9.5014,2.2129,0.0033,16.5258,16.5431,16.7712,16.1394
DB,1.3,3.84,-4.6343,9.5014,2.1995,0.0033,16.3258,16.3761,16.5753,16.0048
DB,1.3,3.86,-4.5543,9.5014,2.1842,0.0033,16.1258,16.1767,16.338,15.8503
DB,1.3,3.88,-4.4743,9.5014,2.1666,0.0033,15.9258,16.0137,16.1474,15.721
DB,1.3,3.9,-4.3943,9.5013,2.1459,0.0033,15.7257,15.8546,15.9625,15.5944
DB,1.3,3.92,-4.3142,9.5013,2.1217,0.0033,15.5256,15.7043,15.788,15.4753
