spec_type,Mass,Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DA,0.3,5500,7.413,13.704,-0.166,14.405,14.532,13.869,0.018231661434869,13.018,12.595,12.284,12.203,12.8,12.554,12.268,12.172,12.086,12.045,12.012,12.011,12.076,12.047,12.03,12.017,15.234,14.188,13.664,13.483,13.42,14.098,13.66,13.479,13.423,13.413,13.644,14,13.113,13.663,14.022,13.128,26.268,19.159,1437000000
DA,0.3,6000,7.398,13.289,-0.132,13.581,13.945,13.421,0.018545951748985,12.706,12.355,12.076,12.023,12.537,12.316,12.059,11.994,11.94,11.917,11.909,11.907,11.934,11.918,11.911,11.908,14.409,13.657,13.27,13.15,13.129,13.589,13.267,13.148,13.127,13.138,13.238,13.512,12.786,13.257,13.54,12.802,24.828,17.48,1148000000
DA,0.3,6500,7.389,12.918,-0.133,12.988,13.48,13.051,0.018746703605127,12.447,12.16,11.915,11.885,12.32,12.122,11.896,11.856,11.828,11.82,11.825,11.812,11.825,11.82,11.821,11.824,13.816,13.227,12.944,12.875,12.889,13.174,12.942,12.874,12.882,12.911,12.901,13.112,12.514,12.918,13.144,12.532,23.389,16.135,937000000
DA,0.3,7000,7.382,12.577,-0.15,12.528,13.089,12.728,0.018912787645315,12.216,11.989,11.78,11.768,12.126,11.953,11.76,11.74,11.73,11.731,11.737,11.721,11.729,11.731,11.735,11.739,13.357,12.859,12.657,12.629,12.675,12.817,12.656,12.63,12.663,12.709,12.603,12.767,12.272,12.62,12.803,12.29,21.922,15.156,775700000
DA,0.3,7500,7.374,12.26,-0.176,12.152,12.746,12.435,0.01906466153979,12.004,11.834,11.661,11.663,11.948,11.8,11.64,11.635,11.637,11.644,11.649,11.634,11.637,11.643,11.649,11.652,12.983,12.533,12.395,12.404,12.478,12.499,12.394,12.405,12.462,12.523,12.332,12.46,12.05,12.349,12.497,12.069,20.316,14.414,647300000
DA,0.3,8000,7.367,11.961,-0.204,11.834,12.436,12.165,0.019229662071789,11.807,11.69,11.552,11.565,11.783,11.658,11.53,11.536,11.547,11.558,11.564,11.551,11.549,11.557,11.564,11.567,12.668,12.236,12.153,12.195,12.295,12.207,12.153,12.197,12.277,12.351,12.081,12.18,11.844,12.099,12.218,11.863,18.785,13.823,543700000
DA,0.3,8500,7.36,11.679,-0.232,11.558,12.152,11.911,0.019396071432599,11.623,11.555,11.45,11.473,11.629,11.527,11.427,11.444,11.46,11.473,11.482,11.472,11.462,11.474,11.48,11.483,12.396,11.96,11.926,11.999,12.125,11.936,11.926,12.002,12.103,12.192,11.847,11.92,11.651,11.864,11.96,11.671,17.524,13.336,459000000
DA,0.3,9000,7.352,11.412,-0.258,11.314,11.888,11.67,0.019564403329659,11.451,11.429,11.355,11.385,11.484,11.403,11.331,11.355,11.374,11.39,11.401,11.393,11.378,11.391,11.397,11.402,12.155,11.702,11.712,11.814,11.967,11.681,11.712,11.818,11.942,12.044,11.626,11.678,11.471,11.643,11.717,11.491,16.499,12.917,388600000
DA,0.3,9500,7.344,11.157,-0.285,11.091,11.642,11.443,0.019747149574245,11.29,11.311,11.266,11.301,11.348,11.288,11.241,11.271,11.291,11.309,11.322,11.317,11.295,11.31,11.316,11.321,11.935,11.461,11.511,11.642,11.82,11.441,11.511,11.647,11.792,11.906,11.418,11.45,11.302,11.436,11.49,11.324,15.623,12.545,329500000
DA,0.3,10000,7.336,10.914,-0.321,10.888,11.418,11.235,0.019932034320976,11.146,11.203,11.184,11.223,11.224,11.182,11.158,11.192,11.211,11.229,11.244,11.244,11.215,11.23,11.235,11.241,11.735,11.24,11.328,11.486,11.688,11.222,11.328,11.492,11.657,11.781,11.228,11.242,11.15,11.246,11.282,11.172,14.705,12.211,279300000
